Facility Name,Facility Type,location,contact,latitude,longitude
CVS,CVS Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78946,-122.40057
CVS,CVS Store,"351 California St, San Francisco, CA 94104",+1 415-243-0273,37.79284,-122.40073
CVS,CVS Store,"400 Sutter St, San Francisco, CA 94108",+1 415-398-2175,37.79284,-122.40727
CVS,CVS Store,"3600 Geary Blvd, San Francisco, CA 94118",+1 415-668-6083,37.7815,-122.45804
CVS,CVS Store,"701 Portola Dr, San Francisco, CA 94127",+1 415-504-6043,37.74424,-122.45325
CVS,CVS Store,"1101 Market St, San Francisco, CA 94103",+1 415-558-1538,37.7802,-122.41246
CVS,CVS Store,"1059 Hyde St, San Francisco, CA 94109",+1 415-346-6100,37.79059,-122.41773
CVS,CVS Store,"2025 Van Ness Ave, San Francisco, CA 94109",+1 415-353-5705,37.79424,-122.42352
CVS,CVS Store,"1900 19th Ave, San Francisco, CA 94116",+1 415-664-1834,37.75223,-122.4761
CVS,CVS Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78679,-122.4041
Walgreens,Walgreens Store,"135 Powell St, San Francisco, CA 94102",+1 415-391-7222,37.78604,-122.40811
Walgreens,Walgreens Store,"670 4th St, San Francisco, CA 94107",+1 415-856-0543,37.7771,-122.39529
Walgreens,Walgreens Store,"2120 Polk St, San Francisco, CA 94109",+1 415-474-9752,37.79638,-122.42164
Walgreens,Walgreens Store,"2120 Polk St, San Francisco, CA 94109",+1 415-292-6155,37.78279,-122.42056
Walgreens,Walgreens Store,"456 Mission St, San Francisco, CA 94105",+1 415-348-9600,37.78999,-122.39759
Walgreens,Walgreens Store,"1344 Stockton St, San Francisco, CA 94133",+1 415-981-6274,37.79819,-122.40854
Walgreens,Walgreens Store,"300 Montgomery St, San Francisco, CA 94104",+1 415-788-2984,37.79209,-122.40249
Walgreens,Walgreens Store,"88 Spear St, San Francisco, CA 94105",+1 415-856-0733,37.79252,-122.39441
Walgreens,Walgreens Store,"825 Market St, San Francisco, CA 94103",+1 415-543-9502,37.78513,-122.40626
Walgreens,Walgreens Store,"275 Sacramento St, San Francisco, CA 94111",+1 415-362-5227,37.79423,-122.39883
California Pacific Med Ctr-davies Campus,General Acute Care Hospital,,,37.76905419,-122.4358177
On Lok Senior Health Services-mission Center,Community Clinic,,,37.72674014,-122.4332937
"Drug Detoxification, Rehab And After Care Svs. Prog.",Free Clinic,,,37.77029461,-122.448703
St. Anthony Medical Clinic,Free Clinic,,,37.78197735,-122.4131723
Special Programs For Youth,Community Health Network,,,37.74571703,-122.4522671
Mission Neighborhood Health Ctr.-excelsior Clinic,Community Clinic,,,37.72668158,-122.4333768
California Pacific Med Ctr-california West,General Acute Care Hospital,,,37.78614406,-122.4559117
Laguna Honda Hospital And Rehabilitation Center,General Acute Care Hospital,,,37.74762573,-122.4587178
St. James Infirmary,Community Clinic,,,37.77561778,-122.4155768
Baart Turk Street Clinic,Community Clinic,,,37.78246323,-122.4163466
Tom Waddell Health Center,Community Health Network,,,37.77797841,-122.4185394
North East Medical Services-taraval,Community Health Network,,,37.74240843,-122.4910405
On Lok Senior Health Services,Community Clinic,,,37.79846727,-122.4038559
Housing And Urban Health Clinic,Community Health Network,,,37.78413785,-122.4115425
Potrero Hill Health Center,Community Health Network,,,37.75427069,-122.3987353
South Of Market Health Center,Community Clinic,,,37.77766069,-122.4088864
Family Health Center At Sfgh,Community Health Network,,,37.75690321,-122.4066315
Institute On Aging,Community Clinic,,,37.78246781,-122.4483432
Women's Health Center,Community Health Network,,,37.75617447,-122.4065947
Lyon-martin Womens Health Services,Community Clinic,,,37.77240194,-122.4228124
Castro-mission Health Center,Community Health Network,,,37.76271772,-122.4318407
Chinese Hospital,General Acute Care Hospital,,,37.79566209,-122.4091723
San Francisco Free Clinic,Free Clinic,,,37.78458778,-122.4700906
North East Medical Services - San Bruno Avenue,Community Clinic,,,37.72908815,-122.4042605
Mission Neighborhood Health Centers-lpc,Community Health Network,,,37.77125833,-122.4194887
Native American Health Center,Community Clinic,,,37.76411733,-122.4186651
Mission Neighborhood Health Center - Valencia Clinic,Community Clinic,,,37.74700015,-122.4200801
Larkin Street Medical Clinic,Community Health Network,,,37.78794224,-122.4191218
Children's Health Center At Sfgh,Community Health Network,,,37.75577951,-122.4061957
Planned Parenthood Golden Gate,Community Clinic,,,37.78276346,-122.4215457
3rd Street Youth Center & Clinic,Community Health Network,,,37.73086205,-122.3922007
General Medical Clinic At Sfgh,Community Health Network,,,37.75577951,-122.4061957
Mission Neighborhood Resource Center,Community Clinic,,,37.7640344,-122.4185547
Breast & Cervical Cancer Services,Community Health Network,,,37.77587757,-122.4193558
First Resort,Community Clinic,,,37.78934797,-122.407783
Glide Health Services,Community Clinic,,,37.78509497,-122.4116495
Curry Senior Center,Community Clinic,,,37.78267054,-122.4145816
Lifeways Pace At The Coronet,Community Clinic,,,37.78123364,-122.4576676
Haight Ashbury Integrated Care Center,Community Clinic,,,37.7694838,-122.419917
San Francisco City Clinic,Community Health Network,,,37.7760443,-122.4070294
Ahf Healthcare Center - San Francisco,Community Clinic,,,37.77918701,-122.4077911
Ucsf Medical Center At Mount Zion,General Acute Care Hospital,,,37.78477686,-122.4397258
Silver Avenue Family Health Center,Community Health Network,,,37.73222744,-122.4065175
Haight Ashbury Free Medical Clinic,Free Clinic,,,37.77019155,-122.4485804
Ocean Park Health Center,Community Health Network,,,37.76238083,-122.482495
Chinese Hospital's Excelsior Health Services,Community Clinic,,,37.71582646,-122.439401
Chinese Community Health Services,Community Clinic,,,37.75341278,-122.4892746
North East Medical Services-leland Avenue,Community Clinic,,,37.71182702,-122.4052494
Asian & Pacific Islander Wellness Center,Community Clinic,,,37.78358665,-122.4191904
Mission Neighborhood Health Center,Community Clinic,,,37.76472768,-122.4163534
San Francisco General Hospital,General Acute Care Hospital,,,37.75606363,-122.4077197
Southeast Health Center,Community Health Network,,,37.72591049,-122.3924666
Adult Immunization & Travel Clinic,Community Health Network,,,37.77838372,-122.4186957
North East Medical Services,Community Clinic,,,37.79989739,-122.4090252
Planned Parenthood San Francisco Center,Community Clinic,,,37.74611894,-122.4201236
Kaiser Fnd Hosp - San Francisco,General Acute Care Hospital,,,37.78268324,-122.4437068
Woman's Community Clinic/tides Center,Community Clinic,,,37.7865244,-122.433383
On Lok Senior Health Services - Powell,Community Clinic,,,37.79788399,-122.4103728
On Lok 30th Street Community Center,Community Clinic,,,37.74215288,-122.4251083
St. Francis Memorial Hospital,General Acute Care Hospital,,,37.78956798,-122.4170662
Chinatown Health Center,Community Health Network,,,37.79693062,-122.4117722
"St. Mary's Medical Center, San Francisco",General Acute Care Hospital,,,37.77380449,-122.4544068
Maxine Hall Health Center,Community Health Network,,,37.781938,-122.435869
Merriouns Psychological Institute,Community Clinic,,,37.78518151,-122.4220439
California Pacific Med Ctr-california East,General Acute Care Hospital,,,37.78740232,-122.4535495
Instituto Familiar De La Raza - Outpatient,Community Clinic,,,37.75034371,-122.4181955
Baart Market Clinic,Community Clinic,,,37.7802172,-122.4127907
Balboa Teen Health Center,Community Health Network,,,37.72207048,-122.4398288
St. Luke's Health Care Center - Pediatric Clinic,Community Clinic,,,37.7475674,-122.4202335
California Pacific Med Ctr-pacific Campus,General Acute Care Hospital,,,37.79142444,-122.4310376
Ucsf Medical Center,General Acute Care Hospital,,,37.76336734,-122.4585674
California Pacific Medical Center - St. Luke's Campus,General Acute Care Hospital,,,37.74804296,-122.4212489
St. Luke's Health Care Center - Adult Clinic,Community Clinic,,,37.7475674,-122.4202335
North East Medical Services - Noriega,Community Clinic,,,37.75412784,-122.4794002
On Lok Senior Health Services - Bush St,Community Clinic,,,37.78882313,-122.4190464
St. Luke's Health Care Center - Women's Clinic,Community Clinic,,,37.7475674,-122.4202335
Richmond Maxi-center,Community Clinic,,,37.77575714,-122.4976142
Cole Street Clinic,Community Health Network,,,7.76999193,-122.450374
